operation_time,location,company,engine,milage,maintenance_needed
7370,hilly,tata,Ashok Leyland Dost Strong,19.71 kmpl,1
960,desert,tata,Mahindra Jeeto Plus,19.6 kmpl,0
5490,humid,mahindra,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
5291,hilly,ashok leyland,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
5834,desert,eicher motors,Ashok Leyland Dost Strong,21.2 kmpl,0
6365,rainy,mahindra,Ashok Leyland Dost Strong,19.6 kmpl,0
566,all,ashok leyland,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
4526,desert,mahindra,Maruti Suzuki Eeco Cargo,18 kmpl,1
5678,rainy,eicher motors,Mahindra Jeeto Plus,19.6 kmpl,0
8422,desert,tata,Maruti Suzuki Eeco Cargo,21.2 kmpl,1
1785,all,tata,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
869,all,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
7049,hilly,bharat benz,Ashok Leyland Dost Strong,21.2 kmpl,0
2533,humid,ashok leyland,Mahindra Supro Profit Truck (Mini),22 kmpl,0
5411,desert,bharat benz,Mahindra Jeeto Plus,18 kmpl,1
5151,desert,mahindra,Ashok Leyland Dost Strong,19.6 kmpl,0
6520,rainy,mahindra,Maruti Suzuki Super Carry,18 kmpl,0
1284,all,eicher motors,Ashok Leyland Dost Strong,19.71 kmpl,1
4655,desert,bharat benz,Maruti Suzuki Super Carry,19.6 kmpl,0
3485,all,eicher motors,Mahindra Supro Profit Truck (Mini),19.6 kmpl,1
6496,desert,tata,Mahindra Supro Profit Truck (Mini),22 kmpl,0
8766,hilly,bharat benz,Ashok Leyland Dost Strong,19.71 kmpl,0
9374,humid,ashok leyland,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
2658,desert,tata,Maruti Suzuki Super Carry,22 kmpl,0
7949,all,tata,Mahindra Jeeto Plus,22 kmpl,0
2147,hilly,ashok leyland,Ashok Leyland Dost Strong,18 kmpl,0
2847,desert,tata,Mahindra Jeeto Plus,18 kmpl,1
9267,rainy,bharat benz,Ashok Leyland Dost Strong,18 kmpl,1
289,humid,eicher motors,Maruti Suzuki Eeco Cargo,22 kmpl,0
2834,desert,tata,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
3105,hilly,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
4758,rainy,mahindra,Maruti Suzuki Eeco Cargo,18 kmpl,0
